"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 16:24:28 GMT 2021","Tue Aug 24 16:24:31 GMT 2021","2648","testproject","test_feladat1","TestFeladat1","","","test_hogwards",""
"passed","Tue Aug 24 16:24:31 GMT 2021","Tue Aug 24 16:24:35 GMT 2021","3710","testproject","test_feladat2","","","","test_salestax",""
"passed","Tue Aug 24 16:24:35 GMT 2021","Tue Aug 24 16:24:38 GMT 2021","3593","testproject","test_feladat3","","","","test_timesheet",""
